scenario_type,num,model_type,num_messages,frustration_percentage,frustration_recovery_turns,frustration_recovery_rate,negative_escalation_rate
abuse,1,dbs,9,0.4,1.5,1.0,1.0
abuse,1,model,4,0.5,1.0,1.0,1.0
abuse,2,dbs,6,0.6666666666666666,,0.0,0.0
abuse,2,model,4,0.5,1.0,1.0,1.0
abuse,3,dbs,6,1.0,5.0,1.0,1.0
abuse,4,dbs,6,0.6666666666666666,3.0,1.0,1.0
abuse,4,model,6,0.6666666666666666,1.0,1.0,1.0
abuse,5,dbs,8,0.5,1.0,0.5,0.5
abuse,5,model,6,0.6666666666666666,1.0,1.0,1.0
nonsense,1,dbs,6,0.3333333333333333,2.0,1.0,0.0
nonsense,1,model,6,0.0,,,
nonsense,2,dbs,6,0.6666666666666666,,0.0,0.0
nonsense,2,model,6,0.0,,,
nonsense,3,dbs,6,0.3333333333333333,,0.0,0.0
nonsense,3,model,6,0.0,,,
nonsense,4,dbs,6,0.3333333333333333,,0.0,0.0
nonsense,4,model,6,0.0,,,
nonsense,5,dbs,6,0.0,,,
nonsense,5,model,6,0.0,,,
routine,1,dbs,10,0.6,2.0,0.3333333333333333,0.0
routine,1,model,2,0.0,,,
routine,2,dbs,6,0.3333333333333333,,0.0,0.0
routine,2,model,4,0.0,,,
routine,3,dbs,8,0.25,2.0,1.0,0.0
routine,3,model,4,0.0,,,
angry,1,dbs,18,0.8888888888888888,,0.0,0.0
angry,1,model,10,0.6,1.0,1.0,1.0
angry,2,dbs,16,0.625,10.0,1.0,0.0
angry,2,model,10,0.6,1.0,1.0,1.0
angry,3,dbs,24,0.75,1.6666666666666667,0.375,0.4444444444444444
angry,3,model,2,0.0,,,
